"age","sex","smoker","qx","mx"
18,"Male","non_smoker",0.00069,0.000690238159559667
19,"Male","non_smoker",0.00064,0.000640204887423272
20,"Male","non_smoker",0.00055,0.00055015130548127
21,"Male","non_smoker",0.00046,0.000460105832456547
22,"Male","non_smoker",0.00045,0.000450101280385206
23,"Male","non_smoker",0.00038,0.000380072218295928
24,"Male","non_smoker",0.00032,0.000320051210925276
25,"Male","non_smoker",0.00027,0.000270036456562321
26,"Male","non_smoker",0.00024,0.000240028804608848
27,"Male","non_smoker",0.00021,0.00021002205308753
28,"Male","non_smoker",0.00018,0.00018001620194422
29,"Male","non_smoker",0.00017,0.000170014451637879
30,"Male","non_smoker",0.00016,0.000160012801365546
31,"Male","non_smoker",0.00013,0.000130008450732368
32,"Male","non_smoker",0.00014,0.000140009800914792
33,"Male","non_smoker",0.00014,0.000140009800914792
34,"Male","non_smoker",0.00015,0.00015001125112511
35,"Male","non_smoker",0.00015,0.00015001125112511
36,"Male","non_smoker",0.00015,0.00015001125112511
37,"Male","non_smoker",0.00015,0.00015001125112511
38,"Male","non_smoker",0.00015,0.00015001125112511
39,"Male","non_smoker",0.00016,0.000160012801365546
40,"Male","non_smoker",0.00017,0.000170014451637879
41,"Male","non_smoker",0.00019,0.000190018052286683
42,"Male","non_smoker",0.00022,0.000220024203549917
43,"Male","non_smoker",0.00145,0.00145105226731469
44,"Male","non_smoker",0.00152,0.00152115637193874
45,"Male","non_smoker",0.00156,0.00156121806695446
46,"Male","non_smoker",0.00162,0.00162131361890006
47,"Male","non_smoker",0.00168,0.00168141278253818
48,"Male","non_smoker",0.00175,0.00175153303880638
49,"Male","non_smoker",0.00183,0.00183167649563689
50,"Male","non_smoker",0.00192,0.00192184556269865
51,"Male","non_smoker",0.00206,0.00206212471844808
52,"Male","non_smoker",0.00225,0.00225253505329376
53,"Male","non_smoker",0.00246,0.00246303077148554
54,"Male","non_smoker",0.00269,0.00269362455148816
55,"Male","non_smoker",0.00291,0.00291424228202598
56,"Male","non_smoker",0.00312,0.00312487734752493
57,"Male","non_smoker",0.00332,0.00332552342857688
58,"Male","non_smoker",0.00353,0.00353624515125415
59,"Male","non_smoker",0.00378,0.00378716225457843
60,"Male","non_smoker",0.00408,0.00408834590860652
61,"Male","non_smoker",0.00448,0.00449006527286489
62,"Male","non_smoker",0.00499,0.00500249162279149
63,"Male","non_smoker",0.00556,0.00557551433318564
64,"Male","non_smoker",0.0062,0.00621929981391683
65,"Male","non_smoker",0.00688,0.00690377631679446
66,"Male","non_smoker",0.00762,0.00764918053161557
67,"Male","non_smoker",0.00842,0.00845564844766164
68,"Male","non_smoker",0.0093,0.00934351500315247
69,"Male","non_smoker",0.0103,0.0103534120794916
70,"Male","non_smoker",0.01147,0.0115362878183304
71,"Male","non_smoker",0.01286,0.0129434056359292
72,"Male","non_smoker",0.01452,0.0146264468621632
73,"Male","non_smoker",0.01646,0.0165969709073694
74,"Male","non_smoker",0.01867,0.0188464845463792
75,"Male","non_smoker",0.02114,0.0213666497418912
76,"Male","non_smoker",0.02385,0.0241390158533258
77,"Male","non_smoker",0.02683,0.027196494688472
78,"Male","non_smoker",0.03013,0.0305932370848308
79,"Male","non_smoker",0.0339,0.0344879304586732
80,"Male","non_smoker",0.03826,0.0390111351162923
81,"Male","non_smoker",0.04336,0.0443281338495427
82,"Male","non_smoker",0.04907,0.0503148258756131
83,"Male","non_smoker",0.05563,0.057237240476098
84,"Male","non_smoker",0.06322,0.0653068162006532
85,"Male","non_smoker",0.07204,0.0747666505731927
86,"Male","non_smoker",0.08226,0.0858411528781233
87,"Male","non_smoker",0.09399,0.098704935472477
88,"Male","non_smoker",0.10725,0.113448692507579
89,"Male","non_smoker",0.12161,0.129664592626828
90,"Male","non_smoker",0.1369,0.147224719756525
91,"Male","non_smoker",0.1526,0.165582440789678
92,"Male","non_smoker",0.16828,0.184259433264243
93,"Male","non_smoker",0.18374,0.203022347317996
94,"Male","non_smoker",0.19822,0.220921022961113
95,"Male","non_smoker",0.21108,0.237090357446834
96,"Male","non_smoker",0.22779,0.258498745222902
97,"Male","non_smoker",0.24559,0.281819292183405
98,"Male","non_smoker",0.26495,0.307816754872162
99,"Male","non_smoker",0.28546,0.336116299974178
100,"Male","non_smoker",0.3067,0.366292473033692
101,"Male","non_smoker",0.32825,0.397869031486536
102,"Male","non_smoker",0.35002,0.430813685796606
103,"Male","non_smoker",0.37165,0.464657942920984
104,"Male","non_smoker",0.39279,0.498880583998122
105,"Male","non_smoker",0.41305,0.532815641657606
106,"Male","non_smoker",0.43208,0.565774715251007
107,"Male","non_smoker",0.44951,0.596946488288662
108,"Male","non_smoker",0.46498,0.625451149607294
109,"Male","non_smoker",0.47812,0.65031760258459
110,"Male","non_smoker",0.48857,0.670544555350516
111,"Male","non_smoker",0.49595,0.685079809482186
112,"Male","non_smoker",0.5,0.693147180559945
113,"Male","non_smoker",0.5,0.693147180559945
114,"Male","non_smoker",0.5,0.693147180559945
115,"Male","non_smoker",0.5,0.693147180559945
116,"Male","non_smoker",0.5,0.693147180559945
117,"Male","non_smoker",0.5,0.693147180559945
118,"Male","non_smoker",0.5,0.693147180559945
119,"Male","non_smoker",0.5,0.693147180559945
120,"Male","non_smoker",0.5,0.693147180559945
18,"Female","non_smoker",0.00027,0.000270036456562321
19,"Female","non_smoker",0.00027,0.000270036456562321
20,"Female","non_smoker",0.00024,0.000240028804608848
21,"Female","non_smoker",0.00019,0.000190018052286683
22,"Female","non_smoker",0.00016,0.000160012801365546
23,"Female","non_smoker",0.00015,0.00015001125112511
24,"Female","non_smoker",0.00013,0.000130008450732368
25,"Female","non_smoker",0.00011,0.000110006050443758
26,"Female","non_smoker",9e-05,9.00040502430509e-05
27,"Female","non_smoker",8e-05,8.00032001706459e-05
28,"Female","non_smoker",7e-05,7.00024501143538e-05
29,"Female","non_smoker",7e-05,7.00024501143538e-05
30,"Female","non_smoker",7e-05,7.00024501143538e-05
31,"Female","non_smoker",7e-05,7.00024501143538e-05
32,"Female","non_smoker",8e-05,8.00032001706459e-05
33,"Female","non_smoker",8e-05,8.00032001706459e-05
34,"Female","non_smoker",8e-05,8.00032001706459e-05
35,"Female","non_smoker",9e-05,9.00040502430509e-05
36,"Female","non_smoker",1e-04,0.000100005000333347
37,"Female","non_smoker",0.00011,0.000110006050443758
38,"Female","non_smoker",0.00012,0.000120007200576061
39,"Female","non_smoker",0.00013,0.000130008450732368
40,"Female","non_smoker",0.00013,0.000130008450732368
